epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.3753,2.69154,3.10138,2.44593,0.00229,0.46809,0.0145,0.00335,3.55229,3.52414,3.28649,0.00065641,0.00065641,0.00065641
2,48.258,2.74448,3.01411,2.38321,0.08364,0.04255,0.03676,0.02356,3.00911,4.16591,2.97374,0.00129688,0.00129688,0.00129688
3,65.1806,2.73653,2.97924,2.37056,0.06245,0.08511,0.05004,0.01732,3.49138,3.82428,3.25333,0.00191095,0.00191095,0.00191095
4,82.7228,2.8173,2.97737,2.42488,0.13445,0.10638,0.0595,0.03257,3.58864,3.578,3.01208,0.0018812,0.0018812,0.0018812
5,100.07,2.79586,2.98243,2.41078,0.4898,0.02128,0.03501,0.01246,3.6975,4.43962,3.72867,0.0018416,0.0018416,0.0018416
6,117.05,2.77138,3.01716,2.41877,0.04527,0.08511,0.038,0.01656,3.1526,4.61099,2.96296,0.001802,0.001802,0.001802
7,135.47,2.73225,3.04578,2.44015,0.718,0.02128,0.03462,0.01493,3.04662,4.04053,2.87865,0.0017624,0.0017624,0.0017624
8,152.537,2.61879,2.95501,2.34702,0.19782,0.06383,0.04836,0.02453,3.11329,4.47027,2.88193,0.0017228,0.0017228,0.0017228
9,170.15,2.74719,3.01705,2.47389,0.20701,0.04255,0.02639,0.01094,3.08656,3.78001,2.89637,0.0016832,0.0016832,0.0016832
10,187.165,2.61142,2.94789,2.37305,0.10791,0.06963,0.06588,0.02277,2.88815,3.93288,2.73925,0.0016436,0.0016436,0.0016436
11,204.406,2.66087,2.89259,2.42269,0.28535,0.04255,0.04334,0.01797,3.00899,4.0453,2.70587,0.001604,0.001604,0.001604
12,221.179,2.56655,2.9061,2.31392,0.11075,0.06383,0.05089,0.02769,3.10403,3.44467,2.79677,0.0015644,0.0015644,0.0015644
13,239.72,2.60498,2.91102,2.32478,0.45624,0.06383,0.08354,0.03648,2.99416,3.25822,2.70629,0.0015248,0.0015248,0.0015248
14,252.945,2.56659,2.86227,2.31891,0.53096,0.04255,0.0671,0.03196,3.01123,3.34674,2.65586,0.0014852,0.0014852,0.0014852
15,270.557,2.54926,2.89709,2.30353,0.12985,0.06383,0.07834,0.03478,3.04906,3.23982,2.65486,0.0014456,0.0014456,0.0014456
16,286.018,2.49946,2.85568,2.29565,0.2463,0.08511,0.09496,0.02946,2.95916,3.29862,2.72703,0.001406,0.001406,0.001406
17,303.359,2.49882,2.8777,2.29698,0.08744,0.08511,0.06379,0.03245,2.88363,3.31244,2.77512,0.0013664,0.0013664,0.0013664
18,320.42,2.46405,2.79723,2.26427,0.10007,0.14894,0.05956,0.03192,2.96161,3.11493,2.76682,0.0013268,0.0013268,0.0013268
19,337.538,2.48095,2.7504,2.29648,0.33829,0.08511,0.07904,0.02546,3.14643,3.02038,2.80775,0.0012872,0.0012872,0.0012872
20,354.643,2.54694,2.85,2.31058,0.1009,0.19149,0.0789,0.03718,2.85469,3.07716,2.61081,0.0012476,0.0012476,0.0012476
21,371.982,2.44869,2.77462,2.23597,0.24384,0.06383,0.08357,0.04215,2.87856,3.13886,2.69364,0.001208,0.001208,0.001208
22,389.216,2.46822,2.74991,2.23929,0.18138,0.16972,0.10244,0.04582,2.99977,3.20523,2.80943,0.0011684,0.0011684,0.0011684
23,406.894,2.41307,2.74147,2.21912,0.26716,0.12766,0.12221,0.05045,2.91441,3.04273,2.7082,0.0011288,0.0011288,0.0011288
24,423.655,2.37135,2.70283,2.17556,0.15439,0.14894,0.10083,0.04676,2.801,3.11449,2.58897,0.0010892,0.0010892,0.0010892
25,441.223,2.42677,2.77434,2.22622,0.22168,0.20614,0.10031,0.04582,2.76497,3.02484,2.67255,0.0010496,0.0010496,0.0010496
26,458.235,2.3941,2.80344,2.23549,0.12846,0.10638,0.09411,0.0469,2.85821,3.06593,2.65545,0.00101,0.00101,0.00101
27,476.05,2.36175,2.67811,2.17259,0.16557,0.17021,0.09134,0.04634,2.82068,3.0247,2.68761,0.0009704,0.0009704,0.0009704
28,493.161,2.40287,2.70969,2.1909,0.31041,0.08511,0.09681,0.05127,2.74012,2.97178,2.6544,0.0009308,0.0009308,0.0009308
29,509.631,2.36722,2.72532,2.18033,0.47152,0.08511,0.10237,0.04931,2.82553,3.05401,2.71704,0.0008912,0.0008912,0.0008912
30,526.799,2.32328,2.68908,2.14529,0.25097,0.10638,0.08917,0.04586,2.91551,3.03484,2.74912,0.0008516,0.0008516,0.0008516
31,544.123,2.32522,2.69866,2.13509,0.16189,0.10638,0.09131,0.05016,2.87012,2.97223,2.64336,0.000812,0.000812,0.000812
32,561.327,2.28309,2.70714,2.13261,0.33612,0.12766,0.11871,0.05744,2.73185,3.02681,2.65434,0.0007724,0.0007724,0.0007724
33,578.486,2.30579,2.69891,2.12547,0.33016,0.10638,0.106,0.04776,2.79742,3.10307,2.6014,0.0007328,0.0007328,0.0007328
34,595.029,2.38479,2.75325,2.19577,0.20379,0.20703,0.11796,0.0439,2.86151,3.02589,2.66467,0.0006932,0.0006932,0.0006932
35,611.741,2.31051,2.58824,2.08187,0.17617,0.21277,0.12133,0.05319,2.76439,2.95205,2.60417,0.0006536,0.0006536,0.0006536
36,628.068,2.32222,2.63713,2.14014,0.2737,0.14894,0.13835,0.06069,2.78478,3.02596,2.65421,0.000614,0.000614,0.000614
37,644.74,2.24538,2.6601,2.11381,0.69876,0.10638,0.1432,0.05862,2.74484,2.98798,2.59233,0.0005744,0.0005744,0.0005744
38,655.298,2.2191,2.6691,2.09952,0.18923,0.17021,0.12348,0.06161,2.73798,3.02318,2.604,0.0005348,0.0005348,0.0005348
39,672.885,2.20649,2.5707,2.0692,0.25711,0.21277,0.13195,0.06628,2.75064,2.9724,2.61788,0.0004952,0.0004952,0.0004952
